[2024-01-02 13:53:19,616: INFO: main: welcome to Mohammed custom log]
[2024-01-02 15:49:06,330: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-02 15:49:06,337: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-02 16:00:06,631: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-02 16:00:06,634: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-02 16:00:28,154: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-02 16:00:28,159: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-02 16:00:28,160: INFO: common: created directory at: artifacts]
[2024-01-02 16:00:28,162: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-02 16:00:28,164: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1lKxcb0qFPR71AGfJ1nCKbn04eE6ol8E1/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-02 16:00:40,298: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1lKxcb0qFPR71AGfJ1nCKbn04eE6ol8E1/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-02 16:07:52,012: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-02 16:07:52,017: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-02 16:07:52,020: INFO: common: created directory at: artifacts]
[2024-01-02 16:07:52,023: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-02 16:07:52,025: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1xbKBLGxxib9-RHXkayzbBbxK-lXOs4PX/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-02 16:08:04,889: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1xbKBLGxxib9-RHXkayzbBbxK-lXOs4PX/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-02 19:46:43,225: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-01-02 19:46:43,227: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-02 19:46:43,229: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-02 19:46:43,230: INFO: common: created directory at: artifacts]
[2024-01-02 19:46:43,231: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-02 19:46:43,232: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1xbKBLGxxib9-RHXkayzbBbxK-lXOs4PX/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-02 19:46:56,813: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1xbKBLGxxib9-RHXkayzbBbxK-lXOs4PX/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-02 19:47:01,138: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
